----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
dynamics.egnn.e_block_7.gcl_0.node_mlp.0.weight                 [192, 384]           73728
dynamics.egnn.e_block_7.gcl_0.node_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_7.gcl_0.node_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_7.gcl_0.node_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_7.gcl_0.att_mlp.0.weight                   [1, 192]             192
dynamics.egnn.e_block_7.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_7.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_7.gcl_equiv.coord_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_7.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_7.gcl_equiv.coord_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_7.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
dynamics.egnn.e_block_8.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_8.gcl_0.edge_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_8.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_8.gcl_0.edge_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_8.gcl_0.node_mlp.0.weight                 [192, 384]           73728
dynamics.egnn.e_block_8.gcl_0.node_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_8.gcl_0.node_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_8.gcl_0.node_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_8.gcl_0.att_mlp.0.weight                   [1, 192]             192
dynamics.egnn.e_block_8.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_8.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_8.gcl_equiv.coord_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_8.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_8.gcl_equiv.coord_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_8.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
vae.encoder.egnn.embedding.weight                   [192, 6]            1152
vae.encoder.egnn.embedding.bias                      [192]             192
vae.encoder.egnn.embedding_out.weight                 [192, 192]           36864
vae.encoder.egnn.embedding_out.bias                      [192]             192
vae.encoder.egnn.e_block_0.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
vae.encoder.egnn.e_block_0.gcl_0.edge_mlp.0.bias                      [192]             192
vae.encoder.egnn.e_block_0.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
vae.encoder.egnn.e_block_0.gcl_0.edge_mlp.2.bias                      [192]             192
vae.encoder.egnn.e_block_0.gcl_0.node_mlp.0.weight                 [192, 384]           73728
vae.encoder.egnn.e_block_0.gcl_0.node_mlp.0.bias                      [192]             192
vae.encoder.egnn.e_block_0.gcl_0.node_mlp.2.weight                 [192, 192]           36864
vae.encoder.egnn.e_block_0.gcl_0.node_mlp.2.bias                      [192]             192
vae.encoder.egnn.e_block_0.gcl_0.att_mlp.0.weight                   [1, 192]             192
vae.encoder.egnn.e_block_0.gcl_0.att_mlp.0.bias                        [1]               1
vae.encoder.egnn.e_block_0.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
vae.encoder.egnn.e_block_0.gcl_equiv.coord_mlp.0.bias                      [192]             192
vae.encoder.egnn.e_block_0.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
vae.encoder.egnn.e_block_0.gcl_equiv.coord_mlp.2.bias                      [192]             192
