----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
vae.decoder.egnn.e_block_3.gcl_equiv.coord_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_3.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
vae.decoder.egnn.e_block_4.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
vae.decoder.egnn.e_block_4.gcl_0.edge_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_4.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_4.gcl_0.edge_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_4.gcl_0.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.egnn.e_block_4.gcl_0.node_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_4.gcl_0.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_4.gcl_0.node_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_4.gcl_0.att_mlp.0.weight                   [1, 256]             256
vae.decoder.egnn.e_block_4.gcl_0.att_mlp.0.bias                        [1]               1
vae.decoder.egnn.e_block_4.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
vae.decoder.egnn.e_block_4.gcl_equiv.coord_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_4.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_4.gcl_equiv.coord_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_4.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
vae.decoder.egnn.e_block_5.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
vae.decoder.egnn.e_block_5.gcl_0.edge_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_5.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_5.gcl_0.edge_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_5.gcl_0.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.egnn.e_block_5.gcl_0.node_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_5.gcl_0.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_5.gcl_0.node_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_5.gcl_0.att_mlp.0.weight                   [1, 256]             256
vae.decoder.egnn.e_block_5.gcl_0.att_mlp.0.bias                        [1]               1
vae.decoder.egnn.e_block_5.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
vae.decoder.egnn.e_block_5.gcl_equiv.coord_mlp.0.bias                      [256]             256
vae.decoder.egnn.e_block_5.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
vae.decoder.egnn.e_block_5.gcl_equiv.coord_mlp.2.bias                      [256]             256
vae.decoder.egnn.e_block_5.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
vae.decoder.egnn.e_block_6.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
vae.decoder.egnn.e_block_6.gcl_0.edge_mlp.0.bias                      [256]             256
