----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
vae.encoder.final_mlp.2.bias                        [3]               3
vae.decoder.clof_net.embedding_node_in.weight                   [256, 1]             256
vae.decoder.clof_net.embedding_node_in.bias                      [256]             256
vae.decoder.clof_net.embedding_node_out.weight                   [6, 256]            1536
vae.decoder.clof_net.embedding_node_out.bias                        [6]               6
vae.decoder.clof_net.fuse_edge.0.weight                   [128, 8]            1024
vae.decoder.clof_net.fuse_edge.0.bias                      [128]             128
vae.decoder.clof_net.fuse_edge.2.weight                 [128, 128]           16384
vae.decoder.clof_net.fuse_edge.2.bias                      [128]             128
vae.decoder.clof_net.clof_gcl_0.edge_mlp.0.weight                 [256, 641]          164096
vae.decoder.clof_net.clof_gcl_0.edge_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_0.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_0.edge_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_0.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.clof_net.clof_gcl_0.node_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_0.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_0.node_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_0.layer_norm.weight                      [256]             256
vae.decoder.clof_net.clof_gcl_0.layer_norm.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_0.coord_mlp.0.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_0.coord_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_0.coord_mlp.2.weight                   [3, 256]             768
vae.decoder.clof_net.clof_gcl_1.edge_mlp.0.weight                 [256, 641]          164096
vae.decoder.clof_net.clof_gcl_1.edge_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_1.edge_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_1.edge_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_1.node_mlp.0.weight                 [256, 512]          131072
vae.decoder.clof_net.clof_gcl_1.node_mlp.0.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_1.node_mlp.2.weight                 [256, 256]           65536
vae.decoder.clof_net.clof_gcl_1.node_mlp.2.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_1.layer_norm.weight                      [256]             256
vae.decoder.clof_net.clof_gcl_1.layer_norm.bias                      [256]             256
vae.decoder.clof_net.clof_gcl_1.coord_mlp.0.weight                 [256, 256]           65536
